05/19 05:44:45 AM | Epoch[94] :	Map 0.2239	
05/19 05:47:39 AM | Epoch[95] :	Total_loss 2.3117079734802246	
05/19 05:48:27 AM | Epoch[95] :	Map 0.2919	
05/19 05:51:14 AM | Epoch[96] :	Total_loss 2.493605136871338	
05/19 05:51:58 AM | Epoch[96] :	Map 0.2718	
05/19 05:54:43 AM | Epoch[97] :	Total_loss 8.188283920288086	
05/19 05:55:30 AM | Epoch[97] :	Map 0.3394	
05/19 05:55:30 AM | Best_map 0.3394	
05/19 05:58:18 AM | Epoch[98] :	Total_loss 5.015329837799072	
05/19 05:59:05 AM | Epoch[98] :	Map 0.2708	
05/19 06:01:46 AM | Epoch[99] :	Total_loss 2.1027660369873047	
05/19 06:02:29 AM | Epoch[99] :	Map 0.2477	
