05/19 01:19:50 PM | Epoch[85] :	Total_loss 8.272538185119629	
05/19 01:20:38 PM | Epoch[85] :	Map 0.2305	
05/19 01:22:10 PM | Epoch[86] :	Total_loss 10.552813529968262	
05/19 01:22:58 PM | Epoch[86] :	Map 0.2016	
05/19 01:24:24 PM | Epoch[87] :	Total_loss 4.306394100189209	
05/19 01:25:12 PM | Epoch[87] :	Map 0.2874	
05/19 01:26:38 PM | Epoch[88] :	Total_loss 3.3411154747009277	
05/19 01:27:25 PM | Epoch[88] :	Map 0.2031	
05/19 01:28:51 PM | Epoch[89] :	Total_loss 8.069066047668457	
05/19 01:29:36 PM | Epoch[89] :	Map 0.2149	
05/19 01:31:04 PM | Epoch[90] :	Total_loss 2.0842418670654297	
05/19 01:31:51 PM | Epoch[90] :	Map 0.2937	
05/19 01:33:20 PM | Epoch[91] :	Total_loss 1.985342025756836	
05/19 01:34:04 PM | Epoch[91] :	Map 0.2865	
05/19 01:35:34 PM | Epoch[92] :	Total_loss 4.680019378662109	
05/19 01:36:21 PM | Epoch[92] :	Map 0.2630	
05/19 01:37:46 PM | Epoch[93] :	Total_loss 14.133832931518555	
05/19 01:38:34 PM | Epoch[93] :	Map 0.1844	
05/19 01:40:01 PM | Epoch[94] :	Total_loss 2.6986236572265625	
05/19 01:40:46 PM | Epoch[94] :	Map 0.2660	
05/19 01:42:13 PM | Epoch[95] :	Total_loss 2.1545791625976562	
05/19 01:42:57 PM | Epoch[95] :	Map 0.2059	
05/19 01:44:23 PM | Epoch[96] :	Total_loss 1.6724246740341187	
05/19 01:45:11 PM | Epoch[96] :	Map 0.2780	
05/19 01:46:37 PM | Epoch[97] :	Total_loss 4.892094612121582	
05/19 01:47:21 PM | Epoch[97] :	Map 0.2744	
05/19 01:48:50 PM | Epoch[98] :	Total_loss 1.703027367591858	
05/19 01:49:34 PM | Epoch[98] :	Map 0.3127	
05/19 01:51:05 PM | Epoch[99] :	Total_loss 2.5885164737701416	
05/19 01:51:49 PM | Epoch[99] :	Map 0.2795	
05/19 01:51:50 PM | Best_map 0.2795	
